ID_Number,Birth_Location_X,Birth_Location_Y,Birth_Location_Z,Current_Location_X,Current_Location_Y,Current_Location_Z,Current_Vector_X,Current_Vector_Y,Current_Vector_Z,Target,Sky Exposure
0,14,4.962498,-7,14,4.962498,-7,0,0,0,No Target Assigned,0
1,14,4.962498,6,14,4.962498,6,0,0,0,No Target Assigned,0
2,-9,4.949997,-17,-9,4.949997,-17,0,0,0,No Target Assigned,0
3,1,4.949997,-17,1,4.949997,-17,0,0,0,No Target Assigned,0
4,-15.5,4.962498,15,-15.5,4.962498,15,0,0,0,No Target Assigned,0
5,-15.5,4.962498,2.000001,-15.5,4.962498,2.000001,0,0,0,No Target Assigned,0
6,-2,4.962498,19.5,-2,4.962498,19.5,0,0,0,No Target Assigned,0
7,8,4.962498,19.5,8,4.962498,19.5,0,0,0,No Target Assigned,0
8,17.104,4.962498,-3.319999,17.104,4.962498,-3.319999,0,0,0,No Target Assigned,0
9,11.498,4.962498,-3.319999,11.498,4.962498,-3.319999,0,0,0,No Target Assigned,0
10,17.104,4.962498,-5.109999,17.104,4.962498,-5.109999,0,0,0,No Target Assigned,0
11,11.498,4.962498,-5.11,11.498,4.962498,-5.11,0,0,0,No Target Assigned,0
12,17.104,4.962498,-7.099999,17.104,4.962498,-7.099999,0,0,0,No Target Assigned,0
13,11.498,4.962498,-7.099999,11.498,4.962498,-7.099999,0,0,0,No Target Assigned,0
14,17.104,4.962498,-9.08,17.104,4.962498,-9.08,0,0,0,No Target Assigned,0
15,11.498,4.962498,-9.08,11.498,4.962498,-9.08,0,0,0,No Target Assigned,0
16,17.104,4.962498,-11.02,17.104,4.962498,-11.02,0,0,0,No Target Assigned,0
17,11.498,4.962498,-11.02,11.498,4.962498,-11.02,0,0,0,No Target Assigned,0
18,17.104,4.949997,-12.93,17.104,4.949997,-12.93,0,0,0,No Target Assigned,0
19,11.498,4.962244,-12.93,11.498,4.962244,-12.93,0,0,0,No Target Assigned,0
20,17.104,4.949997,-14.92,17.104,4.949997,-14.92,0,0,0,No Target Assigned,0
21,11.498,4.958357,-14.92,11.498,4.958357,-14.92,0,0,0,No Target Assigned,0
22,17.104,4.949997,-16.95,17.104,4.949997,-16.95,0,0,0,No Target Assigned,0
23,11.498,4.954392,-16.95,11.498,4.954392,-16.95,0,0,0,No Target Assigned,0
24,17.104,4.949997,-18.85,17.104,4.949997,-18.85,0,0,0,No Target Assigned,0
25,11.498,4.950681,-18.85,11.498,4.950681,-18.85,0,0,0,No Target Assigned,0
26,13.462,4.949997,-19.78,13.462,4.949997,-19.78,0,0,0,No Target Assigned,0
27,15.172,4.949997,-19.78,15.172,4.949997,-19.78,0,0,0,No Target Assigned,0
